section_id,section_title,section_viet,section_num,section_note,item_code,item_viet,item_eng,price,size_S,size_M,size_L,size_XL
,,,,,625,Cơm Gà Xào Rau Cải,Stir fried chicken & mixed vegetable on rice,17.99,,,,
,,,,,626,Cơm Bò Xào Rau Cải,Stir fried beef & mixed vegetable on rice,18.50,,,,
,,,,,627,Cơm Xào Đặc Biệt,"Special stir fried beef, chicken, seafood & vegetable on steamed rice",18.50,,,,
,,,,,628,Bún Xào Singapore Đặc Biệt,"Special Singapore style vermicelli with curry, beef, chicken, seafood, egg & mixed vegetable",18.50,,,,
,,,,,628a,Bún Xào Đồ Biển Singapore,"Singapore style vermicelli with curry, seafood, egg & mixed vegetable",17.99,,,,
,,,,,629,Mì Xào Thượng Hải,"Stir fried Shanghai udon noodle with shrimp, BBQ pork, mixed vegetable",17.99,,,,
,,,,,—,Cơm Xào Gà Rau Cải Thái Sauce,"Stir fried chicken, vegetable & Thai sauce on rice",17.99,,,,
drinks,Beverages & Desserts,Giải Khát,11,,777,Bubble Tea,"Taro, red bean, peach, honeydew, blueberry, mango, pineapple, lychee, strawberry, passion fruit, banana, coconut, green apple, milk tea, coffee, matcha green tea",,,6.99,7.99,
,,,,,778,Cà Phê Đen Nóng/Lạnh,"Filtered coffee, hot or cold black (8 min)",6.99,,,,
,,,,,779,Cà Phê Sữa Nóng/Lạnh,"Filtered coffee with condensed milk, hot or cold (8 min)",6.99,,,,
,,,,,780,Cà Phê Sữa Nóng/Lạnh,"Machine coffee with condensed milk, hot or cold",6.99,,,,
,,,,,781,Nước Ngọt Các Loại,"Soft drinks — Coke, Sprite, Crush, Pepsi, Nestea, club soda, orange...",2.50,,,,
,,,,,783,Nước Đá Chanh Tươi,Fresh squeezed lime juice with sugar & ice,6.99,,,,
,,,,,784,Nước Đá Chanh Muối,Salted lime juice with sugar & ice,6.99,,,,
,,,,,785,Soda Chanh Tươi,"Fresh squeezed lime juice with soda, sugar & ice",6.99,,,,
,,,,,786,Soda Chanh Muối,"Salted lime juice with soda, sugar & ice",6.99,,,,
,,,,,787,Soda Sữa Hột Gà,Soda whipped with condensed milk & one egg yolk,8.99,,,,
,,,,,790,Đá Nhãn Nhục,Dried longan with sugar & ice,6.99,,,,
,,,,,791,Thạch Chè,"Sweet jelly, white kidney beans, coconut milk & shaved ice",6.99,,,,
,,,,,792,Thạch Nhãn,Sweet jelly & dried longan with ice,6.99,,,,
,,,,,793,Sương Sa Hột Lựu,"Jelly, white beans & tapioca w/ coconut milk & shaved ice",6.99,,,,
,,,,,794,Chè 3 Màu,"Two kinds of beans, jelly with coconut milk & shaved ice",6.99,,,,
,,,,,795,Cam Vắt,Fresh squeezed orange juice with ice,6.99,,,,
,,,,,796,Rau Má,Penny wort leaves juice,6.99,,,,
,,,,,797,Dừa Xiêm,Fresh coconut juice,6.99,,,,
,,,,,798,Sinh Tố Dừa Tươi,Coconut milk shake,6.99,,,,
,,,,,799,Sinh Tố Mãng Cầu,Soursop smoothie,6.99,,,,
,,,,,800,Sinh Tố Mít,Jackfruit smoothie,6.99,,,,
,,,,,801,Sinh Tố Sầu Riêng,Durian milk shake,6.99,,,,
,,,,,802,Sinh Tố Dâu,Strawberry milk shake,6.99,,,,
,,,,,803,Sinh Tố Rau Má,Penny wort leaves smoothie,6.99,,,,
,,,,,804,Nước Mía,Sugarcane juice,6.99,,,,
,,,,,805,Sinh Tố Bơ,Avocado milk shake,6.99,,,,
,,,,,806,Sinh Tố Xoài,Mango smoothie,6.99,,,,
,,,,,807,Sinh Tố Đu Đủ,Papaya milk shake,6.99,,,,
,,,,,808,Sinh Tố Đậu Xanh Sầu Riêng,Durian & mung bean milk shake,,,,,
,,,,,809,Nước Đá Chanh Dây,Passion fruit juice with sugar & ice,6.99,,,,
,,,,,810,Chuối Chiên,Deep fried banana with coconut milk & peanut,6.99,,,,
,,,,,811,Chè Halo Halo,"Filipino dessert — bean, purple yam, jelly, shredded coconut, milk, ube ice cream, jackfruit with shaved ice",7.99,,,,
,,,,,812,Chè Thái,"Thai cocktail with palm seed, jackfruit, longan, jelly, milk, durian with shaved ice",7.99,,,,
,,,,,813,Chè Dừa Dầm,"Shredded coconut, coconut jelly, coconut cream with shaved ice",6.99,,,,
,,,,,814,Chè Khoai Môn,Taro with sweet rice pudding & coconut milk,6.99,,,,
,,,,,815,Chè Đậu Trắng,Black eyed peas with sweet rice pudding & coconut milk,6.99,,,,
,,,,,816,Bánh Flan,Flan cake,6.50,,,,
,,,,,817,Bánh Bò Nướng,"Honeycomb cake — sugar, egg, tapioca flour & coconut milk",6.50,,,,
